STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,PRCP,Measurement Flag,Quality Flag,SNWD,Measurement Flag,Quality Flag,SNOW,Measurement Flag,Quality Flag
GHCND:US1CODN0159,DENVER 4.6 S CO US,1648.7,39.6614,-104.9555,20121113,0, , ,-9999, , ,0, , 
GHCND:US1CODN0159,DENVER 4.6 S CO US,1648.7,39.6614,-104.9555,20121114,0, , ,-9999, , ,0, , 
GHCND:US1CODN0159,DENVER 4.6 S CO US,1648.7,39.6614,-104.9555,20121115,0, , ,-9999, , ,0, , 
GHCND:US1CODN0159,DENVER 4.6 S CO US,1648.7,39.6614,-104.9555,20121116,0, , ,-9999, , ,0, , 
GHCND:US1CODN0159,DENVER 4.6 S CO US,1648.7,39.6614,-104.9555,20121117,0, , ,-9999, , ,0, , 
GHCND:US1CODN0159,DENVER 4.6 S CO US,1648.7,39.6614,-104.9555,20121118,0, , ,-9999, , ,0, , 
GHCND:US1CODN0159,DENVER 4.6 S CO US,1648.7,39.6614,-104.9555,20121119,0, , ,-9999, , ,0, , 
GHCND:US1CODN0159,DENVER 4.6 S CO US,1648.7,39.6614,-104.9555,20121120,0, , ,-9999, , ,0, , 
GHCND:US1CODN0159,DENVER 4.6 S CO US,1648.7,39.6614,-104.9555,20121121,0, , ,-9999, , ,0, , 
GHCND:US1CODN0159,DENVER 4.6 S CO US,1648.7,39.6614,-104.9555,20121122,0, , ,-9999, , ,0, , 
GHCND:US1CODN0159,DENVER 4.6 S CO US,1648.7,39.6614,-104.9555,20121123,0, , ,-9999, , ,0, , 
GHCND:US1CODN0159,DENVER 4.6 S CO US,1648.7,39.6614,-104.9555,20121124,0, , ,-9999, , ,0, , 
GHCND:US1CODN0159,DENVER 4.6 S CO US,1648.7,39.6614,-104.9555,20121125,0, , ,-9999, , ,0, , 
GHCND:US1CODN0159,DENVER 4.6 S CO US,1648.7,39.6614,-104.9555,20121126,0, , ,-9999, , ,0, , 
GHCND:US1CODN0159,DENVER 4.6 S CO US,1648.7,39.6614,-104.9555,20121127,0, , ,-9999, , ,0, , 
GHCND:US1CODN0159,DENVER 4.6 S CO US,1648.7,39.6614,-104.9555,20121128,0, , ,-9999, , ,0, , 
GHCND:US1CODN0159,DENVER 4.6 S CO US,1648.7,39.6614,-104.9555,20121129,0, , ,-9999, , ,0, , 
GHCND:US1CODN0159,DENVER 4.6 S CO US,1648.7,39.6614,-104.9555,20121130,0, , ,-9999, , ,0, , 
GHCND:US1CODN0159,DENVER 4.6 S CO US,1648.7,39.6614,-104.9555,20121203,0, , ,-9999, , ,0, , 
GHCND:US1CODN0159,DENVER 4.6 S CO US,1648.7,39.6614,-104.9555,20121204,0, , ,-9999, , ,0, , 
GHCND:US1CODN0159,DENVER 4.6 S CO US,1648.7,39.6614,-104.9555,20121205,0, , ,-9999, , ,0, , 
GHCND:US1CODN0159,DENVER 4.6 S CO US,1648.7,39.6614,-104.9555,20121206,0, , ,-9999, , ,0, , 
GHCND:US1CODN0159,DENVER 4.6 S CO US,1648.7,39.6614,-104.9555,20121207,0, , ,-9999, , ,0, , 
GHCND:US1CODN0159,DENVER 4.6 S CO US,1648.7,39.6614,-104.9555,20121208,0, , ,-9999, , ,0, , 
GHCND:US1CODN0159,DENVER 4.6 S CO US,1648.7,39.6614,-104.9555,20121209,0.05, , ,0.5, , ,0.3, , 
GHCND:US1CODN0159,DENVER 4.6 S CO US,1648.7,39.6614,-104.9555,20121210,0, , ,-9999, , ,0, , 
GHCND:US1CODN0159,DENVER 4.6 S CO US,1648.7,39.6614,-104.9555,20121211,0.03, , ,-9999, , ,0.2, , 
